# NAME MASS[GEV] WIDTH[GEV] PDG

########## non-strange mesons ##########

π⁺ 0.138 0.0        211
π⁰ 0.138 7.7e-9     111
ρ⁺ 0.776 0.149      213
ρ⁰ 0.776 0.149      113
η  0.548 1.3e-6     221
ω  0.783 0.0085     223
η' 0.958 0.198      331
φ  1.019 0.0043     333
σ  0.800 0.400  9000221
f₂ 1.275 0.185      225

########## strange mesons ##############

K⁺        0.494 0.0    321
K⁰        0.494 0.0    311
K*(892)⁺  0.892 0.0508 323
K*(892)⁰  0.892 0.0508 313
K*(1410)⁺ 1.414 0.232  100323
K*(1410)⁰ 1.414 0.232  100313

########## N baryons ###################

N⁺       0.938 0.0      2212
N⁰       0.938 0.0      2112
N(1440)⁺ 1.462 0.350  202212
N(1440)⁰ 1.462 0.350  202112
N(1520)⁺ 1.515 0.115  102214
N(1520)⁰ 1.515 0.115  102114
N(1535)⁺ 1.535 0.150  102212
N(1535)⁰ 1.535 0.150  102112
N(1650)⁺ 1.655 0.140  122212
N(1650)⁰ 1.655 0.140  122112
N(1675)⁺ 1.675 0.150  102216
N(1675)⁰ 1.675 0.150  102116
N(1680)⁺ 1.685 0.130  202216
N(1680)⁰ 1.685 0.130  202116
N(1700)⁺ 1.700 0.150  112214
N(1700)⁰ 1.700 0.150  112114
N(1710)⁺ 1.710 0.100  212212
N(1710)⁰ 1.710 0.100  212112
N(1720)⁺ 1.720 0.250  212214
N(1720)⁰ 1.720 0.250  212114
N(1875)⁺ 1.875 0.250 9002214
N(1875)⁰ 1.875 0.250 9002114
N(1900)⁺ 1.900 0.250 9012214
N(1900)⁰ 1.900 0.250 9012114

########## Δ baryons ###################

Δ⁺⁺       1.232 0.117   2224
Δ⁺        1.232 0.117   2214
Δ⁰        1.232 0.117   2114
Δ⁻        1.232 0.117   1114
Δ(1620)⁺⁺ 1.630 0.140 112222
Δ(1620)⁺  1.630 0.140 112212
Δ(1620)⁰  1.630 0.140 112112
Δ(1620)⁻  1.630 0.140 111112
Δ(1700)⁺⁺ 1.700 0.300 122224
Δ(1700)⁺  1.700 0.300 122214
Δ(1700)⁰  1.700 0.300 122114
Δ(1700)⁻  1.700 0.300 121114
Δ(1905)⁺⁺ 1.880 0.330 212226
Δ(1905)⁺  1.880 0.330 212216
Δ(1905)⁰  1.880 0.330 212116
Δ(1905)⁻  1.880 0.330 211116
Δ(1910)⁺⁺ 1.890 0.280 222222
Δ(1910)⁺  1.890 0.280 222212
Δ(1910)⁰  1.890 0.280 222112
Δ(1910)⁻  1.890 0.280 221112
Δ(1920)⁺⁺ 1.920 0.260 222224
Δ(1920)⁺  1.920 0.260 222214
Δ(1920)⁰  1.920 0.260 222114
Δ(1920)⁻  1.920 0.260 221114
Δ(1950)⁺⁺ 1.930 0.285 202228
Δ(1950)⁺  1.930 0.285 202218
Δ(1950)⁰  1.930 0.285 202118
Δ(1950)⁻  1.930 0.285 201118

########## Λ baryons ###################

Λ        1.116 0.0    3122
Λ(1405)  1.405 0.0505 13122
Λ(1520)  1.520 0.0156 3124
Λ(1670)  1.670 0.0350 33122
Λ(1690)  1.690 0.0600 13124
Λ(1820)  1.820 0.0800 3126
Λ(1830)  1.830 0.0950 13126
Λ(1890)  1.890 0.1000 23124
#Λ(2100)  2.100 0.2000 ?  # FIXME: determine pdg code

########## Σ baryons ###################

Σ⁺       1.189 0.0    3222
Σ⁰       1.189 0.0    3212
Σ⁻       1.189 0.0    3112
Σ(1385)⁺ 1.383 0.0360 3224
Σ(1385)⁰ 1.384 0.0360 3214
Σ(1385)⁻ 1.387 0.0394 3114
Σ(1670)⁺ 1.670 0.0600 13224
Σ(1670)⁰ 1.670 0.0600 13214
Σ(1670)⁻ 1.670 0.0600 13114
Σ(1775)⁺ 1.775 0.1200 3226
Σ(1775)⁰ 1.775 0.1200 3216
Σ(1775)⁻ 1.775 0.1200 3116
Σ(1915)⁺ 1.915 0.1200 13226
Σ(1915)⁰ 1.915 0.1200 13216
Σ(1915)⁻ 1.915 0.1200 13116
#Σ(2030)⁺ 2.030 0.1800 ?  # FIXME: determine pdg code
#Σ(2030)⁰ 2.030 0.1800 ?
#Σ(2030)⁺ 2.030 0.1800 ?

########## Ξ baryons ###################

Ξ⁰ 1.321 0.0 3322
Ξ⁻ 1.321 0.0 3312

########## Ω baryons ###################

Ω⁻ 1.672 0.0 3334

########## non-hadrons (leptons & gauge bosons) ##########

e⁻ 0.000511 0.0 11
μ⁻ 0.105 0.0 13

γ  0.0  0.0  22
