# NAME MASS[GEV] WIDTH[GEV] PDG

########## non-strange mesons ##########

π⁺ 0.138 0.0        211
π⁰ 0.138 4.8e-8     111
ρ⁺ 0.776 0.149      213
ρ⁰ 0.776 0.149      113
η  0.548 1.3e-6     221
ω  0.783 0.0085     223
φ  1.019 0.0043     333
σ  0.800 0.400  9000221

########## strange mesons ##############

K⁺ 0.494 0.0 321
K⁰ 0.494 0.0 311

########## N baryons ###################

N⁺        0.938 0.0     2212
N⁰        0.938 0.0     2112
N*(1440)⁺ 1.462 0.350 202212
N*(1440)⁰ 1.462 0.350 202112
N*(1520)⁺ 1.515 0.115 102214
N*(1520)⁰ 1.515 0.115 102114
N*(1535)⁺ 1.535 0.150 102212
N*(1535)⁰ 1.535 0.150 102112
N*(1650)⁺ 1.655 0.140 122212
N*(1650)⁰ 1.655 0.140 122112
N*(1675)⁺ 1.675 0.150 102216
N*(1675)⁰ 1.675 0.150 102116
N*(1680)⁺ 1.685 0.130 202216
N*(1680)⁰ 1.685 0.130 202116
N*(1720)⁺ 1.720 0.250 212214
N*(1720)⁰ 1.720 0.250 212114

########## Δ baryons ###################

Δ⁺⁺        1.232 0.117   2224
Δ⁺         1.232 0.117   2214
Δ⁰         1.232 0.117   2114
Δ⁻         1.232 0.117   1114
Δ*(1620)⁺⁺ 1.630 0.140 112222
Δ*(1620)⁺  1.630 0.140 112212
Δ*(1620)⁰  1.630 0.140 112112
Δ*(1620)⁻  1.630 0.140 111112
Δ*(1700)⁺⁺ 1.700 0.300 122224
Δ*(1700)⁺  1.700 0.300 122214
Δ*(1700)⁰  1.700 0.300 122114
Δ*(1700)⁻  1.700 0.300 121114
Δ*(1905)⁺⁺ 1.880 0.330 212226
Δ*(1905)⁺  1.880 0.330 212216
Δ*(1905)⁰  1.880 0.330 212116
Δ*(1905)⁻  1.880 0.330 211116
Δ*(1910)⁺⁺ 1.890 0.280 222222
Δ*(1910)⁺  1.890 0.280 222212
Δ*(1910)⁰  1.890 0.280 222112
Δ*(1910)⁻  1.890 0.280 221112
Δ*(1950)⁺⁺ 1.930 0.285 202228
Δ*(1950)⁺  1.930 0.285 202218
Δ*(1950)⁰  1.930 0.285 202118
Δ*(1950)⁻  1.930 0.285 201118

########## strange baryons #############

Λ  1.116 0.0 3122
Σ⁺ 1.189 0.0 3222
Σ⁰ 1.189 0.0 3212
Σ⁻ 1.189 0.0 3112

########## leptons #############

e⁻ 0.000511 0.0 11
μ⁻ 0.105 0.0 13

γ  0.0  0.0  22
